File #,File name,# of Tubes,# walls per CNT,# of Atoms,# of Bonds,Bond Ratio,CNT height,Initial Dia (Ang.),Initial Dia (nm),Cross-sectional area (nm^2),Strain at Break,1/2 Stress (GPa),1/2 Strain,Strength (GPa),Elastic Modulus (GPa)
1,001-2N2M2,2,1,160,236,1.475,24.16942758,2.71,0.271,0.665705054,0.236000016,27.57371674,0.117000012,45.46599245,101.5764735
2,002-2N3M3,2,1,240,354,1.475,24.49893973,4.07,0.407,0.97290255,0.248000008,35.44571485,0.122999988,53.95553431,311.1540751
3,003-2N4M4,2,1,320,472,1.475,24.82845188,5.42,0.542,1.335308825,0.259000004,42.75914045,0.129000004,60.18662421,418.1533074
4,004-2N5M5,2,1,400,590,1.475,25.15796402,6.78,0.678,1.75829286,0.258000008,38.73455124,0.128000008,56.08445161,447.5256987
5,005-3N2M2,3,1,240,356,1.483333333,24.16942758,2.71,0.271,0.998557581,0.238000008,39.7454541,0.118000008,60.5036156,162.5297917
6,006-3N2M2,3,1,240,352,1.466666667,24.16942758,2.71,0.271,0.998557581,0.226000016,21.40726671,0.111999992,33.45852757,492.5213106
7,007-3N3M3,3,1,360,534,1.483333333,24.49893973,4.07,0.407,1.459353825,0.250999996,51.64367183,0.12500002,74.72432828,611.1045959
8,008-3N3M3,3,1,360,528,1.466666667,24.49893973,4.07,0.407,1.459353825,0.258000008,31.64796908,0.128000008,43.87214919,371.9187303
9,009-3N4M4,3,1,480,712,1.483333333,24.82845188,5.42,0.542,2.002963237,0.252999988,52.19868547,0.126000016,73.54944332,480.551332
10,010-3N4M4,3,1,480,704,1.466666667,24.82845188,5.42,0.542,2.002963237,0.249000004,32.47220984,0.123999984,43.45710882,246.0606026
11,011-3N5M5,3,1,600,890,1.483333333,25.15796402,6.78,0.678,2.637439289,0.240999996,47.53048594,0.12,69.74924623,522.2283654
12,012-3N5M5,3,1,600,880,1.466666667,25.15796402,6.78,0.678,2.637439289,0.256000016,29.47226202,0.127000012,40.20331958,296.3759714
13,013-4N2M2,4,1,320,476,1.4875,24.16942758,2.71,0.271,1.331410108,0.237000012,47.21338327,0.118000008,69.42078015,599.3592115
14,014-4N2M2,4,1,320,472,1.475,24.16942758,2.71,0.271,1.331410108,0.228000008,29.45556651,0.112999988,46.01859514,279.5203225
15,015-4N2M2,4,1,320,468,1.4625,24.16942758,2.71,0.271,1.331410108,0.229000004,14.79321562,0.113999984,22.87144052,55.59120772
16,016-4N3M3,4,1,480,714,1.4875,24.49893973,4.07,0.407,1.9458051,0.24500002,54.73076702,0.121999992,80.43232235,473.9277974
17,017-4N3M3,4,1,480,708,1.475,24.49893973,4.07,0.407,1.9458051,0.249000004,38.27443871,0.123999984,56.81575331,331.3110487
18,018-4N3M3,4,1,480,702,1.4625,24.49893973,4.07,0.407,1.9458051,0.239000004,25.56229412,0.119000004,35.88584276,316.7735778
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
